Page_1_Structure_1: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.II, CIDs: 0
Page_1_Structure_2: SMILES: C=CCOC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Z], CIDs: Not found
Page_1_Structure_3: SMILES: C=CCOC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Z], CIDs: Not found
Page_1_Structure_4: SMILES: C1=CC2=C(C=C1)C=C(C=C2)C[C@@H](C(=O)O)N.[B], CIDs: 0
Page_1_Structure_5: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O, CIDs: 439744
Page_1_Structure_6: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N.S, CIDs: 161859770
Page_1_Structure_7: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N, CIDs: 7020128
Page_2_Structure_1: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N.S, CIDs: 161859770
Page_2_Structure_2: SMILES: C1=C(C=CC(=C1)N)CC(C(=O)O)N.[B], CIDs: 0
Page_2_Structure_3: SMILES: C1=C(C=CC(=C1)N)C[C@@H](C(=O)O)N.O, CIDs: 21117064
Page_2_Structure_4: SMILES: C1=C(C=CC(=C1)N)C[C@@H](C(=O)O)N.[Z], CIDs: Not found
Page_2_Structure_5: SMILES: C1=C(C=CC(=C1)N)C[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_2_Structure_6: SMILES: CC(C)C1=CC=C(C=C1)C[C@@H](C(=O)O)N.[B], CIDs: 0
Page_2_Structure_7: SMILES: CC(=O)C1=CC=C(C=C1)C[C@@H](C(=O)O)N.O, CIDs: 0
Page_2_Structure_8: SMILES: C#CCOC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Ti], CIDs: Not found
Page_2_Structure_9: SMILES: C1=C(C=CC(=C1)[N+](=O)[O-])C[C@@H](C(=O)O)N.[U], CIDs: 0
Page_3_Structure_1: SMILES: C1=C(C=CC(=C1)[N+](=O)[O-])C[C@@H](C(=O)O)N.[U], CIDs: 0
Page_3_Structure_2: SMILES: C1=C(C=CC(=C1)OS(=O)(=O)O)CC(C(=O)O)N.[Y], CIDs: 0
Page_3_Structure_3: SMILES: C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C[C@@H](C(=O)O)N.[Mg], CIDs: 0
Page_3_Structure_4: SMILES: CC(=O)CC(=O)C1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Mg], CIDs: 0
Page_3_Structure_5: SMILES: C1=C(C=CC(=C1)C#N)CC(C(=O)O)N.[Ti], CIDs: Not found
Page_3_Structure_6: SMILES: C1=C(C=CC(=C1)C#N)CC(C(=O)O)N.[Ti], CIDs: Not found
Page_3_Structure_7: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)N)O.[Na], CIDs: 0
Page_3_Structure_8: SMILES: C1=C(C=CC(=C1)CC(=O)O)C[C@@H](C(=O)O)N.[Yb], CIDs: 0
Page_4_Structure_1: SMILES: C1=C(C=CC(=C1)C2(C(F)(F)F)N=N2)C[C@@H](C(=O)O)N.[O-2], CIDs: 0
Page_4_Structure_2: SMILES: C1=CC=C(C=C1)C2=CC=C(C=C2)C[C@@H](C(=O)O)N.[Zr], CIDs: 0
Page_4_Structure_3: SMILES: C1=CC(=NC=C1)C2=NC=C(C=C2)C[C@@H](C(=O)O)N, CIDs: 10060325
Page_4_Structure_4: SMILES: C1=C(C=CC(=C1)C(=O)C2=CC=C(C=C2)F)C([C@@H](C(=O)O)N)[Z3], CIDs: Not found
Page_4_Structure_5: SMILES: C1=CC2=C(C(=C1)O)N=CC(=C2)C[C@@H](C(=O)O)N.[Z], CIDs: Not found
Page_4_Structure_6: SMILES: C1=CC(=C(C(=C1)F)C(=O)C2=CC=C(C=C2)C([C@@H](C(=O)O)N)[Z5])F, CIDs: Not found
Page_5_Structure_1: SMILES: C1=C(C=CC(=C1)B(O)O)C[C@@H](C(=O)O)N.[Ag], CIDs: 0
Page_5_Structure_2: SMILES: C1=C(C=CC(=C1)C(=O)C2=CC=C(C=C2)I)C[C@@H](C(=O)O)N.[Z7], CIDs: Not found
Page_5_Structure_3: SMILES: C1=C(C=CC(=C1)C(=O)C2=CC=C(C=C2)[N+](=O)[O-])C[C@@H](C(=O)O)N.[Z8], CIDs: Not found
Page_5_Structure_4: SMILES: C1=C(C=CC(=C1)C(=O)C2=CC(=C(C=C2)[N+](=O)[O-])F)C[C@@H](C(=O)O)N.[Z], CIDs: Not found
Page_5_Structure_5: SMILES: C1=C(C=CC(=C1)OC2=CC=C(C=C2)O)C[C@@H](C(=O)O)N.O, CIDs: 0
Page_5_Structure_6: SMILES: C[C@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)[C@@H](C(=O)O)N, CIDs: 0
Page_5_Structure_7: SMILES: C1=CC=C(C(=C1)COC2=CC=C(C[C@@H](C(=O)O)N)C(=C2)F)[N+](=O)[O-].[B], CIDs: 0
Page_6_Structure_1: SMILES: C1=CC=C(C(=C1)CC(C(=O)O)N)[N+](=O)[O-].[Na], CIDs: 0
Page_6_Structure_2: SMILES: C1=C(C=CC(=C1)OC(F)(F)F)[C@@H]([C@@H](C(=O)O)N)[R4], CIDs: Not found
Page_6_Structure_3: SMILES: C[C@H](C1=CC=C(C=C1)O)[C@@H](C(=O)O)O, CIDs: 170989091
Page_6_Structure_4: SMILES: C1=C(C[C@@H](C(=O)O)N)C=C(C(=C1)O)[N+](=O)[O-].[Ag], CIDs: 0
Page_6_Structure_5: SMILES: C1=C(C=CC(=C1)CN)C[C@@H](C(=O)O)N.[S-2], CIDs: 0
Page_6_Structure_6: SMILES: CC1=CC=C(C=C1)C([C@@H](C(=O)O)N)[R8], CIDs: Not found
Page_6_Structure_7: SMILES: C1=CC(=C(C=C1C([C@@H](C(=O)O)N)[R9])O)O, CIDs: Not found
Page_7_Structure_1: SMILES: C#CC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Ar], CIDs: Not found
Page_7_Structure_2: SMILES: C1=C(C=CC(=C1)C(F)(F)F)C[C@@H](C(=O)O)N.[Ac], CIDs: 0
Page_7_Structure_3: SMILES: C1=CC=C(C(=C1)COC2=CC=C(C=C2)C[C@@H](C(=O)O)N)[N+](=O)[O-].[Ag+], CIDs: 0
Page_7_Structure_4: SMILES: C1=C(C=CC(=C1)Br)[C@@H]([C@@H](C(=O)O)N)[R4], CIDs: Not found
Page_7_Structure_5: SMILES: C1=C(C=CC(=C1)I)[C@H]([C@@H](C(=O)O)N)[R5], CIDs: Not found
Page_7_Structure_6: SMILES: C1=C(C=CC(=C1)I)[C@H]([C@@H](C(=O)O)N)[R5], CIDs: Not found
Page_7_Structure_7: SMILES: C1=C(C=CC(=C1)I)C([C@@H](C(=O)O)N)[R5], CIDs: Not found
Page_7_Structure_8: SMILES: C1=CC=C(C(=C1)COC2=CC=C(C=C2F)[C@@H]([C@@H](C(=O)O)N)[As])[N+](=O)[O-], CIDs: 0
Page_8_Structure_1: SMILES: C1=CC=C(C(=C1)COC2=CC(=C(C[C@@H](C(=O)O)N)C(=C2)F)F)[N+](=O)[O-].[K], CIDs: 0
Page_8_Structure_2: SMILES: C1=CC=C(C=C1)[Se]C[C@@H](C(=O)O)N.[Ag], CIDs: 0
Page_8_Structure_3: SMILES: CC(=O)C1=CC=CC(=C1)C[C@@H](C(=O)O)N.[B], CIDs: 0
Page_8_Structure_4: SMILES: CC1=CC2=C(C=C1)C(=CC(=O)O2)CC[C@@H](C(=O)O)N.[B], CIDs: 0
Page_8_Structure_5: SMILES: C1=CC2=C(C=C1O)OC(=O)C=C2C[C@@H]([C@@H](C(=O)O)N)[S-].[S-2], CIDs: 0
Page_8_Structure_6: SMILES: CC1=NN=C(NC2=CC=C(C=C2)C[C@@H](C(=O)O)N)N=N1.[Se], CIDs: 0
Page_9_Structure_1: SMILES: C1=C(C=CC(=C1)N2N=CN=N2)C[C@@H](C(=O)O)N.S, CIDs: 0
Page_9_Structure_2: SMILES: C=CC(=O)NC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Se], CIDs: 0
Page_9_Structure_3: SMILES: C=CS(=O)(=O)NC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[Sr], CIDs: 0
Page_9_Structure_4: SMILES: C1=CC(=CC2=C1C=C(C=C2)O)C([C@@H](C(=O)O)N)[Y13d], CIDs: Not found
Page_10_Structure_1: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.II, CIDs: 0
Page_10_Structure_2: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O.[Al], CIDs: 0
Page_10_Structure_3: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O.[Al], CIDs: 0
Page_10_Structure_4: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N, CIDs: 7020128
Page_10_Structure_5: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N, CIDs: 7020128
Page_10_Structure_6: SMILES: C1=C(C=CC(=C1)N)C[C@@H](C(=O)O)N.[B], CIDs: 0
Page_10_Structure_7: SMILES: CC(=O)C1=CC=C(C=C1)C[C@@H](C(=O)O)N.O, CIDs: 0
Page_10_Structure_8: SMILES: C1=C(C=CC(=C1)I)[C@H]([C@@H](C(=O)O)N)[R5], CIDs: Not found
Page_10_Structure_9: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)N)O.[S-2], CIDs: 0
Page_11_Structure_1: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[I-], CIDs: 0
Page_11_Structure_2: SMILES: C1=CC(=C(C=C1)[N+](=O)[O-])CSC[C@@H](C(=O)O)N.[S-2], CIDs: 0
Page_11_Structure_3: SMILES: CN(C)C1=CC=CC2=C(C=CC=C21)S(=O)(=O)NC[C@@H](C(=O)O)N.[Sb], CIDs: 0
Page_11_Structure_4: SMILES: CN(C)C1=CC=CC2=C(C=CC=C21)S(=O)(=O)NC[C@@H](C(=O)O)N.[Se], CIDs: 0
Page_11_Structure_5: SMILES: COC1=CC(=C(C=C1OC)[N+](=O)[O-])COCC(C(=O)O)N.[Sg], CIDs: 0
Page_11_Structure_6: SMILES: C=CCCCC(C(=O)O)N.O=O, CIDs: 0
Page_11_Structure_7: SMILES: CCCCCC[C@@H](C(=O)O)N.C=O, CIDs: 0
Page_12_Structure_1: SMILES: CCCCCC[C@@H](C(=O)O)N.[Cr], CIDs: 0
Page_12_Structure_2: SMILES: CCCCCCC[C@@H](C(=O)O)N.[Ca], CIDs: 0
Page_12_Structure_3: SMILES: CCCCCCCC[C@@H](C(=O)O)N.[Ga], CIDs: 0
Page_12_Structure_4: SMILES: CSCCC[C@@H](C(=O)O)N.C1CCOC1, CIDs: 0
Page_12_Structure_5: SMILES: CSCCCC[C@@H](C(=O)O)N.[Os], CIDs: 0
Page_12_Structure_6: SMILES: C(CS)C(C(=O)O)N.[Ga], CIDs: 0
Page_12_Structure_7: SMILES: C(CC(C(=O)O)N)CS.[O-2], CIDs: 0
Page_12_Structure_8: SMILES: C(CCS)C[C@@H](C(=O)O)N.[Ga], CIDs: 0
Page_12_Structure_9: SMILES: C=CCS(=O)CC(C(=O)O)N.[Os], CIDs: 0
Page_13_Structure_1: SMILES: C=CCCCC[C@@H](C(=O)O)N.[O-2], CIDs: 0
Page_13_Structure_2: SMILES: C/C=C/COCC(C(=O)O)N.[Y], CIDs: Not found
Page_13_Structure_3: SMILES: C=CCCCOC[C@@H](C(=O)O)N, CIDs: 124511444
Page_13_Structure_4: SMILES: CC(=O)C1=CC2=C(C=C1)C=CC(=C2)NC[C@@H](C(=O)O)N.[Ta], CIDs: 0
Page_13_Structure_5: SMILES: C1=CC2=C(C=C1)C=C(C=C2)NC[C@@H](C(=O)O)N.[Tc], CIDs: 0
Page_14_Structure_1: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[I-], CIDs: 0
